"Weekend"
"08:00 Karingon Start 1"
"08:30 Gullholmsbaden IN 1"
"08:40 Tuvesvik Slut 1"
"09:00 Tuvesvik Start 2"
"09:05 Gullholmsbaden Slut 2"
"09:15 Gullholmsbaden Start 3"
"09:20 Tuvesvik Slut 3"
"09:30 Tuvesvik Start 4"
"10:05 Käringön Slut 4"
"11:40 Käringön Start 5"
"12:10 Gullholmsbaden IN 5"
"12:20 Tuvesvik Slut 5"
"12:30 Tuvesvik Start 6"
"12:35 Gullholmsbaden Slut 6"
"13:00 Gullholmsbaden Start 7"
"13:05 Tuvesvik Slut 7"
"13:15 Tuvesvik Start 8"
"13:50 Käringön Slut 8"
"15:40 Käringön Start 9"
"16:15 Tuvesvik Slut 9"
"16:30 Tuvesvik Start 10"
"16:35 Gullholmsbaden Slut 10"
"16:45 Gullholmsbaden Start 11"
"16:50 Tuvesvik Slut 11"
"17:15 Tuvesvik Start 12"
"17:20 Gullholmsbaden UT 12"
"17:55 Käringön Slut 12"
"18:00 Käringön Start 13"
"18:30 Gullholmsbaden IN 13"
"18:40 Tuvesvik Slut 13"
"19:15 Tuvesvik Start 14"
"19:20 Gullholmsbaden UT 14"
"19:55 Käringön Slut 14"
"20:00 Käringön Start 15"
"20:30 Gullholmsbaden IN 15"
"20:40 Tuvesvik Slut 15"
"21:00 Tuvesvik Start 16"
"21:05 Gullholmsbaden UT 16"
"21:40 Käringön Slut 16"
"22:00 Käringön Start 17"
"22:30 Gullholmsbaden IN 17"
"22:40 Tuvesvik Slut 17"
"22:45 Tuvesvik Start 18"
"22:50 Gullholmsbaden UT 18"
"23:25 Käringön Slut 18"
