"MonFri"
"06:00 Karingon Start 1"
"06:30 Gullholmsbaden IN 1"
"06:40 Tuvesvik Slut 1"
"06:45 Tuvesvik Start 2"
"06:50 Gullholmsbaden UT 2"
"07:25 Käringön Slut 2"
"08:30 Käringön Start 3"
"09:00 Gullholmsbaden IN 3"
"09:10 Tuvesvik Slut 3"
"10:10 Tuvesvik Start 4"
"10:15 Gullholmsbaden UT 4"
"10:50 Käringön Slut 4"
"12:15 Käringön Start 5"
"12:45 Gullholmsbaden IN 5"
"12:55 Tuvesvik Slut 5"
"13:00 Tuvesvik Start 6"
"13:05 Gullholmsbaden UT 6"
"13:40 Käringön Slut 6"
"15:15 Käringön Start 7"
"15:45 Gullholmsbaden IN 7"
"15:55 Tuvesvik Slut 7"
"16:00 Tuvesvik Start 8"
"16:05 Gullholmsbaden UT 8"
"16:40 Käringön Slut 8"
"17:15 Käringön Start 9"
"17:45 Gullholmsbaden IN 9"
"17:55 Tuvesvik Slut 9"
"18:15 Tuvesvik Start 10"
"18:20 Gullholmsbaden UT 10"
"18:55 Käringön Slut 10"
"19:45 Käringön Start 11"
"20:15 Gullholmsbaden IN 11"
"20:25 Tuvesvik Slut 11"
"20:30 Tuvesvik Start 12"
"20:35 Gullholmsbaden Slut 12"
"21:00 Gullholmsbaden Start 13"
"21:05 Tuvesvik Slut 13"
"21:30 Tuvesvik Start 14"
"21:35 Gullholmsbaden IN 14"
"22:10 Käringön Slut 14"
